#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aadorf;Aadorf;Aadorf;Aadorf;;Aadorf;;;;;;;;;x
b_aadorf_adj;Aadorfian;;aadorfer;;;;;;;;;;;x
b_aarau;Aarau;Aarau;Aarau;;Aarau;;;;;;;;;x
b_aarau_adj;Aarian;;aarer;;;;;;;;;;;x
b_aarberg;Aarberg;Aarberg;Aarberg;;Aarberg;;;;;;;;;x
b_aarberg_adj;Aarbergian;;aarberger;;;;;;;;;;;x
b_aarberg_2;Aarberg;Aarberg;Aarberg;;Aarberg;;;;;;;;;x
b_aarberg_2_adj;Aarbergian;;aarberger;;;;;;;;;;;x
b_aarberg_3;Aarberg;Aarberg;Aarberg;;Aarberg;;;;;;;;;x
b_aarberg_3_adj;Aarbergian;;aarberger;;;;;;;;;;;x
b_aarburg;Aarburg;Aarburg;Aarburg;;Aarburg;;;;;;;;;x
b_aarburg_adj;Aarburgian;;aarburger;;;;;;;;;;;x
b_aarwangen;Aarwangen;Aarwangen;Aarwangen;;Aarwangen;;;;;;;;;x
b_aarwangen_adj;Aarwangenian;;aarwangener;;;;;;;;;;;x
b_abnet;Äbnet;Äbnet;Äbnet;;Äbnet;;;;;;;;;x
b_abnet_adj;Äbnetian;;äbneter;;;;;;;;;;;x
b_abondance;Abondance;Abondance;Abondance;;Abondance;;;;;;;;;x
b_abondance_adj;Abondancean;;abondancer;;;;;;;;;;;x
b_abtwil;Abtwil;Abtwil;Abtwil;;Abtwil;;;;;;;;;x
b_abtwil_adj;Abtwilian;;abtwiler;;;;;;;;;;;x
b_adelans;Adelans;Adelans;Adelans;;Adelans;;;;;;;;;x
b_adelans_adj;Adelansian;;adelanser;;;;;;;;;;;x
b_adliswil;Adliswil;Adliswil;Adliswil;;Adliswil;;;;;;;;;x
b_adliswil_adj;Adliswilian;;adliswiler;;;;;;;;;;;x
b_aesch;Aesch;Aesch;Aesch;;Aesch;;;;;;;;;x
b_aesch_adj;Aeschian;;aescher;;;;;;;;;;;x
b_aesch_2;Aesch;Aesch;Aesch;;Aesch;;;;;;;;;x
b_aesch_2_adj;Aeschian;;aescher;;;;;;;;;;;x
b_aeschach;Aeschach;Aeschach;Aeschach;;Aeschach;;;;;;;;;x
b_aeschach_adj;Aeschachian;;aeschacher;;;;;;;;;;;x
b_aetingen;Aetingen;Aetingen;Aetingen;;Aetingen;;;;;;;;;x
b_aetingen_adj;Aetingenian;;aetingener;;;;;;;;;;;x
b_aeugstertal;Aeugstertal;Aeugstertal;Aeugstertal;;Aeugstertal;;;;;;;;;x
b_aeugstertal_adj;Aeugstertalian;;aeugstertaler;;;;;;;;;;;x
b_agarn;Agarn;Agarn;Agarn;;Agarn;;;;;;;;;x
b_agarn_adj;Agarnian;;agarner;;;;;;;;;;;x
b_agathazell;Agathazell;Agathazell;Agathazell;;Agathazell;;;;;;;;;x
b_agathazell_adj;Agathazellian;;agathazeller;;;;;;;;;;;x
b_ageri;Ägeri;Ägeri;Ägeri;;Ägeri;;;;;;;;;x
b_ageri_adj;Ägerian;;ägerer;;;;;;;;;;;x
b_ageri_2;Ägeri;Ägeri;Ägeri;;Ägeri;;;;;;;;;x
b_ageri_2_adj;Ägerian;;ägerer;;;;;;;;;;;x
b_aigle;Aigle;Aigle;Aigle;;Aigle;;;;;;;;;x
b_aigle_adj;Aiglean;;aigler;;;;;;;;;;;x
b_aigle_2;Aigle;Aigle;Aigle;;Aigle;;;;;;;;;x
b_aigle_2_adj;Aiglean;;aigler;;;;;;;;;;;x
b_ailingen;Ailingen;Ailingen;Ailingen;;Ailingen;;;;;;;;;x
b_ailingen_adj;Ailingenian;;ailingener;;;;;;;;;;;x
b_ailloncourt;Ailloncourt;Ailloncourt;Ailloncourt;;Ailloncourt;;;;;;;;;x
b_ailloncourt_adj;Ailloncourtian;;ailloncourter;;;;;;;;;;;x
b_airolo;Airolo;Airolo;Airolo;;Airolo;;;;;;;;;x
b_airolo_adj;Airolian;;airoler;;;;;;;;;;;x
b_aitern;Aitern;Aitern;Aitern;;Aitern;;;;;;;;;x
b_aitern_adj;Aiternian;;aiterner;;;;;;;;;;;x
b_aix;Aix;Aix;Aix;;Aix;;;;;;;;;x
b_aix_adj;Aixian;;aixer;;;;;;;;;;;x
b_albavilla;Albavilla;Albavilla;Albavilla;;Albavilla;;;;;;;;;x
b_albavilla_adj;Albavillan;;albaviller;;;;;;;;;;;x
b_albens;Albens;Albens;Albens;;Albens;;;;;;;;;x
b_albens_adj;Albensian;;albenser;;;;;;;;;;;x
b_albeuve;Albeuve;Albeuve;Albeuve;;Albeuve;;;;;;;;;x
b_albeuve_adj;Albeuvean;;albeuver;;;;;;;;;;;x
b_albogasio;Albogasio;Albogasio;Albogasio;;Albogasio;;;;;;;;;x
b_albogasio_adj;Albogasian;;albogaser;;;;;;;;;;;x
b_alby;Alby;Alby;Alby;;Alby;;;;;;;;;x
b_alby_adj;Albian;;alber;;;;;;;;;;;x
b_alex;Alex;Alex;Alex;;Alex;;;;;;;;;x
b_alex_adj;Alexian;;alexer;;;;;;;;;;;x
b_allaman;Allaman;Allaman;Allaman;;Allaman;;;;;;;;;x
b_allaman_adj;Allamanian;;allamaner;;;;;;;;;;;x
b_allensbach;Allensbach;Allensbach;Allensbach;;Allensbach;;;;;;;;;x
b_allensbach_adj;Allensbachian;;allensbacher;;;;;;;;;;;x
b_allensbach_2;Allensbach;Allensbach;Allensbach;;Allensbach;;;;;;;;;x
b_allensbach_2_adj;Allensbachian;;allensbacher;;;;;;;;;;;x
b_allensbach_3;Allensbach;Allensbach;Allensbach;;Allensbach;;;;;;;;;x
b_allensbach_3_adj;Allensbachian;;allensbacher;;;;;;;;;;;x
b_allensbach_4;Allensbach;Allensbach;Allensbach;;Allensbach;;;;;;;;;x
b_allensbach_4_adj;Allensbachian;;allensbacher;;;;;;;;;;;x
b_allenwinden;Allenwinden;Allenwinden;Allenwinden;;Allenwinden;;;;;;;;;x
b_allenwinden_adj;Allenwindenian;;allenwindener;;;;;;;;;;;x
b_allerheiligen;Allerheiligen;Allerheiligen;Allerheiligen;;Allerheiligen;;;;;;;;;x
b_allerheiligen_adj;Allerheiligenian;;allerheiligener;;;;;;;;;;;x
b_allinges;Allinges;Allinges;Allinges;;Allinges;;;;;;;;;x
b_allinges_adj;Allingesian;;allingeser;;;;;;;;;;;x
b_allmansdorf;Allmansdorf;Allmansdorf;Allmansdorf;;Allmansdorf;;;;;;;;;x
b_allmansdorf_adj;Allmansdorfian;;allmansdorfer;;;;;;;;;;;x
b_allschwil;Allschwil;Allschwil;Allschwil;;Allschwil;;;;;;;;;x
b_allschwil_adj;Allschwilian;;allschwiler;;;;;;;;;;;x
b_alpnach;Alpnach;Alpnach;Alpnach;;Alpnach;;;;;;;;;x
b_alpnach_adj;Alpnachian;;alpnacher;;;;;;;;;;;x
b_alpnach_2;Alpnach;Alpnach;Alpnach;;Alpnach;;;;;;;;;x
b_alpnach_2_adj;Alpnachian;;alpnacher;;;;;;;;;;;x
b_alpnachstad;Alpnachstad;Alpnachstad;Alpnachstad;;Alpnachstad;;;;;;;;;x
b_alpnachstad_adj;Alpnachstadian;;alpnachstader;;;;;;;;;;;x
b_alt_st_johann;Alt St. Johann;Alt St. Johann;Alt St. Johann;;Alt St. Johann;;;;;;;;;x
b_alt_st_johann_adj;Alt St. Johannian;;Alt St. Johanner;;;;;;;;;;;x
b_altdorf;Altdorf;Altdorf;Altdorf;;Altdorf;;;;;;;;;x
b_altdorf_adj;Altdorfian;;altdorfer;;;;;;;;;;;x
b_altdorf_2;Altdorf;Altdorf;Altdorf;;Altdorf;;;;;;;;;x
b_altdorf_2_adj;Altdorfian;;altdorfer;;;;;;;;;;;x
b_altenburg;Altenburg;Altenburg;Altenburg;;Altenburg;;;;;;;;;x
b_altenburg_adj;Altenburgian;;altenburger;;;;;;;;;;;x
b_alterswil;Alterswil;Alterswil;Alterswil;;Alterswil;;;;;;;;;x
b_alterswil_adj;Alterswilian;;alterswiler;;;;;;;;;;;x
b_altishofen;Altishofen;Altishofen;Altishofen;;Altishofen;;;;;;;;;x
b_altishofen_adj;Altishofenian;;altishofener;;;;;;;;;;;x
b_altkirch;Altkirch;Altkirch;Altkirch;;Altkirch;;;;;;;;;x
b_altkirch_adj;Altkirchian;;altkircher;;;;;;;;;;;x
b_altnau;Altnau;Altnau;Altnau;;Altnau;;;;;;;;;x
b_altnau_adj;Altnian;;altner;;;;;;;;;;;x
b_altreu;Altreu;Altreu;Altreu;;Altreu;;;;;;;;;x
b_altreu_adj;Altrian;;altrer;;;;;;;;;;;x
b_altstaetten;Altstätten;Altstätten;Altstätten;;Altstätten;;;;;;;;;x
b_altstaetten_adj;Altstättenian;;altstättener;;;;;;;;;;;x
b_altstetten;Altstetten;Altstetten;Altstetten;;Altstetten;;;;;;;;;x
b_altstetten_adj;Altstettenian;;altstettener;;;;;;;;;;;x
b_altwyden;Altwyden;Altwyden;Altwyden;;Altwyden;;;;;;;;;x
b_altwyden_adj;Altwydenian;;altwydener;;;;;;;;;;;x
b_amach;Amach;Amach;Amach;;Amach;;;;;;;;;x
b_amach_adj;Amachian;;amacher;;;;;;;;;;;x
b_ambria;Ambria;Ambria;Ambria;;Ambria;;;;;;;;;x
b_ambria_adj;Ambrian;;ambrer;;;;;;;;;;;x
b_ambrogio;Ambrogio;Ambrogio;Ambrogio;;Ambrogio;;;;;;;;;x
b_ambrogio_adj;Ambrogian;;ambroger;;;;;;;;;;;x
b_amriswil;Amriswil;Amriswil;Amriswil;;Amriswil;;;;;;;;;x
b_amriswil_adj;Amriswilian;;amriswiler;;;;;;;;;;;x
b_amriswil_2;Amriswil;Amriswil;Amriswil;;Amriswil;;;;;;;;;x
b_amriswil_2_adj;Amriswilian;;amriswiler;;;;;;;;;;;x
b_amsteg;Amsteg;Amsteg;Amsteg;;Amsteg;;;;;;;;;x
b_amsteg_adj;Amstegian;;amsteger;;;;;;;;;;;x
b_amtzell;Amtzell;Amtzell;Amtzell;;Amtzell;;;;;;;;;x
