#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aarau;Aarau;Aarau;Aarau;;Aarau;;;;;;;;;x
c_aarau_adj;Aarian;;aarer;;;;;;;;;;;x
c_aarberg;Aarberg;Aarberg;Aarberg;;Aarberg;;;;;;;;;x
c_aarberg_adj;Aarbergian;;aarberger;;;;;;;;;;;x
c_abondance;Abondance;Abondance;Abondance;;Abondance;;;;;;;;;x
c_abondance_adj;Abondancean;;abondancer;;;;;;;;;;;x
c_ageri;Ägeri;Ägeri;Ägeri;;Ägeri;;;;;;;;;x
c_ageri_adj;Ägerian;;ägerer;;;;;;;;;;;x
c_aigle;Aigle;Aigle;Aigle;;Aigle;;;;;;;;;x
c_aigle_adj;Aiglean;;aigler;;;;;;;;;;;x
c_airolo;Airolo;Airolo;Airolo;;Airolo;;;;;;;;;x
c_airolo_adj;Airolian;;airoler;;;;;;;;;;;x
c_albens;Albens;Albens;Albens;;Albens;;;;;;;;;x
c_albens_adj;Albensian;;albenser;;;;;;;;;;;x
c_albula;Albula;Albula;Albula;;Albula;;;;;;;;;x
c_albula_adj;Albulan;;albuler;;;;;;;;;;;x
c_allensbach;Allensbach;Allensbach;Allensbach;;Allensbach;;;;;;;;;x
c_allensbach_adj;Allensbachian;;allensbacher;;;;;;;;;;;x
c_alpnach;Alpnach;Alpnach;Alpnach;;Alpnach;;;;;;;;;x
c_alpnach_adj;Alpnachian;;alpnacher;;;;;;;;;;;x
c_altdorf;Altdorf;Altdorf;Altdorf;;Altdorf;;;;;;;;;x
c_altdorf_adj;Altdorfian;;altdorfer;;;;;;;;;;;x
c_altkirch;Altkirch;Altkirch;Altkirch;;Altkirch;;;;;;;;;x
c_altkirch_adj;Altkirchian;;altkircher;;;;;;;;;;;x
c_altstaetten;Altstätten;Altstätten;Altstätten;;Altstätten;;;;;;;;;x
c_altstaetten_adj;Altstättenian;;altstättener;;;;;;;;;;;x
c_amriswil;Amriswil;Amriswil;Amriswil;;Amriswil;;;;;;;;;x
c_amriswil_adj;Amriswilian;;amriswiler;;;;;;;;;;;x
c_amsteg;Amsteg;Amsteg;Amsteg;;Amsteg;;;;;;;;;x
c_amsteg_adj;Amstegian;;amsteger;;;;;;;;;;;x
c_andelfingen;Andelfingen;Andelfingen;Andelfingen;;Andelfingen;;;;;;;;;x
c_andelfingen_adj;Andelfingenian;;andelfingener;;;;;;;;;;;x
c_annecy;Annecy;Annecy;Annecy;;Annecy;;;;;;;;;x
c_annecy_adj;Annecian;;annecer;;;;;;;;;;;x
c_annemasse;Annemasse;Annemasse;Annemasse;;Annemasse;;;;;;;;;x
c_annemasse_adj;Annemassean;;annemasser;;;;;;;;;;;x
c_aosta;Aosta;Aosta;Aosta;;Aosta;;;;;;;;;x
c_aosta_adj;Aostan;;aoster;;;;;;;;;;;x
c_appenzell;Appenzell;Appenzell;Appenzell;;Appenzell;;;;;;;;;x
c_appenzell_adj;Appenzellian;;appenzeller;;;;;;;;;;;x
c_arbon;Arbon;Arbon;Arbon;;Arbon;;;;;;;;;x
c_arbon_adj;Arbonian;;arboner;;;;;;;;;;;x
c_ardon;Ardon;Ardon;Ardon;;Ardon;;;;;;;;;x
c_ardon_adj;Ardonian;;ardoner;;;;;;;;;;;x
c_argera;Argera;Argera;Argera;;Argera;;;;;;;;;x
c_argera_adj;Argeran;;argerer;;;;;;;;;;;x
c_arosa;Arosa;Arosa;Arosa;;Arosa;;;;;;;;;x
c_arosa_adj;Arosan;;aroser;;;;;;;;;;;x
c_aubonne;Aubonne;Aubonne;Aubonne;;Aubonne;;;;;;;;;x
c_aubonne_adj;Aubonnean;;aubonner;;;;;;;;;;;x
c_avenches;Avenches;Avenches;Avenches;;Avenches;;;;;;;;;x
c_avenches_adj;Avenchesian;;avencheser;;;;;;;;;;;x
c_avers;Avers;Avers;Avers;;Avers;;;;;;;;;x
c_avers_adj;Aversian;;averser;;;;;;;;;;;x
c_avry;Avry;Avry;Avry;;Avry;;;;;;;;;x
c_avry_adj;Avrian;;avrer;;;;;;;;;;;x
c_baceno;Baceno;Baceno;Baceno;;Baceno;;;;;;;;;x
c_baceno_adj;Bacenian;;bacener;;;;;;;;;;;x
c_bad_krozingen;Bad Krozingen;Bad Krozingen;Bad Krozingen;;Bad Krozingen;;;;;;;;;x
c_bad_krozingen_adj;Bad Krozingenian;;Bad Krozingener;;;;;;;;;;;x
c_bad_zurzach;Bad Zurzach;Bad Zurzach;Bad Zurzach;;Bad Zurzach;;;;;;;;;x
c_bad_zurzach_adj;Bad Zurzachian;;Bad Zurzacher;;;;;;;;;;;x
c_baden;Baden;Baden;Baden;;Baden;;;;;;;;;x
c_baden_adj;Badenian;;badener;;;;;;;;;;;x
c_balderschwang;Balderschwang;Balderschwang;Balderschwang;;Balderschwang;;;;;;;;;x
c_balderschwang_adj;Balderschwangian;;balderschwanger;;;;;;;;;;;x
c_balsthal;Balsthal;Balsthal;Balsthal;;Balsthal;;;;;;;;;x
c_balsthal_adj;Balsthalian;;balsthaler;;;;;;;;;;;x
c_balzers;Balzers;Balzers;Balzers;;Balzers;;;;;;;;;x
c_balzers_adj;Balzersian;;balzerser;;;;;;;;;;;x
c_banges;Banges;Banges;Banges;;Banges;;;;;;;;;x
c_banges_adj;Bangesian;;bangeser;;;;;;;;;;;x
c_basel;Basel;Basel;Basel;;Basel;;;;;;;;;x
c_basel_adj;Baselian;;baseler;;;;;;;;;;;x
c_bassecourt;Bassecourt;Bassecourt;Bassecourt;;Bassecourt;;;;;;;;;x
c_bassecourt_adj;Bassecourtian;;bassecourter;;;;;;;;;;;x
c_bavona;Bavona;Bavona;Bavona;;Bavona;;;;;;;;;x
c_bavona_adj;Bavonan;;bavoner;;;;;;;;;;;x
c_beaufort;Beaufort;Beaufort;Beaufort;;Beaufort;;;;;;;;;x
c_beaufort_adj;Beaufortian;;beauforter;;;;;;;;;;;x
c_beckenried;Beckenried;Beckenried;Beckenried;;Beckenried;;;;;;;;;x
c_beckenried_adj;Beckenriedian;;beckenrieder;;;;;;;;;;;x
c_belfort;Belfort;Belfort;Belfort;;Belfort;;;;;;;;;x
c_belfort_adj;Belfortian;;belforter;;;;;;;;;;;x
c_bellegarde;Bellegarde;Bellegarde;Bellegarde;;Bellegarde;;;;;;;;;x
c_bellegarde_adj;Bellegardean;;bellegarder;;;;;;;;;;;x
c_bellinzona;Bellinzona;Bellinzona;Bellinzona;;Bellinzona;;;;;;;;;x
c_bellinzona_adj;Bellinzonan;;bellinzoner;;;;;;;;;;;x
c_bergamo;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
c_bergamo_adj;Bergamian;;bergamer;;;;;;;;;;;x
c_bern;Bern;Bern;Bern;;Bern;;;;;;;;;x
c_bern_adj;Bernian;;berner;;;;;;;;;;;x
c_besancon;Besancon;Besancon;Besancon;;Besancon;;;;;;;;;x
c_besancon_adj;Besanconian;;besanconer;;;;;;;;;;;x
c_biel;Biel;Biel;Biel;;Biel;;;;;;;;;x
c_biel_adj;Bielian;;bieler;;;;;;;;;;;x
c_biere;Bière;Bière;Bière;;Bière;;;;;;;;;x
c_biere_adj;Bièrean;;bièrer;;;;;;;;;;;x
c_birseck;Birseck;Birseck;Birseck;;Birseck;;;;;;;;;x
c_birseck_adj;Birseckian;;birsecker;;;;;;;;;;;x
c_bischofszell;Bischofszell;Bischofszell;Bischofszell;;Bischofszell;;;;;;;;;x
c_bischofszell_adj;Bischofszellian;;bischofszeller;;;;;;;;;;;x
c_bivio;Bivio;Bivio;Bivio;;Bivio;;;;;;;;;x
c_bivio_adj;Bivian;;biver;;;;;;;;;;;x
c_boege;Boëge;Boëge;Boëge;;Boëge;;;;;;;;;x
c_boege_adj;Boëgean;;boëger;;;;;;;;;;;x
c_bonaduz;Bonaduz;Bonaduz;Bonaduz;;Bonaduz;;;;;;;;;x
c_bonaduz_adj;Bonaduzian;;bonaduzer;;;;;;;;;;;x
c_bonneville;Bonneville;Bonneville;Bonneville;;Bonneville;;;;;;;;;x
c_bonneville_adj;Bonnevillean;;bonneviller;;;;;;;;;;;x
c_bons;Bons;Bons;Bons;;Bons;;;;;;;;;x
c_bons_adj;Bonsian;;bonser;;;;;;;;;;;x
c_bonstetten;Bonstetten;Bonstetten;Bonstetten;;Bonstetten;;;;;;;;;x
c_bonstetten_adj;Bonstettenian;;bonstettener;;;;;;;;;;;x
c_borgomanero;Borgomanero;Borgomanero;Borgomanero;;Borgomanero;;;;;;;;;x
c_borgomanero_adj;Borgomanerian;;borgomanerer;;;;;;;;;;;x
c_bravuogn;Bravuogn;Bravuogn;Bravuogn;;Bravuogn;;;;;;;;;x
c_bravuogn_adj;Bravuognian;;bravuogner;;;;;;;;;;;x
c_bregenz;Bregenz;Bregenz;Bregenz;;Bregenz;;;;;;;;;x
c_bregenz_adj;Bregenzian;;bregenzer;;;;;;;;;;;x
