#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_alemannia;Alemannia;Alemannia;Alemanien;;Alemannia;;;;;;;;;x
k_alemannia_adj;Alemannian;;alemannisch;;;;;;;;;;;x
k_baden;Baden;Baden;Baden;;Baden;;;;;;;;;x
k_baden_adj;Badenian;;badisch;;;;;;;;;;;x
k_bayern;Bayern;Bayern;Bayern;;Bayern;;;;;;;;;x
k_bayern_adj;Bayernian;;bayrisch;;;;;;;;;;;x
k_milan;Milan;Milan;Mailand;;Milan;;;;;;;;;x
k_milan_adj;Milanese;;mailänderisch;;;;;;;;;;;x
k_lower_burgundy;Lower Burgundy;Lower Burgundy;Niederburgund;;Lower Burgundy;;;;;;;;;x
k_lower_burgundy_adj;Lower Burgundian;;niederburgundisch;;;;;;;;;;;x
k_osterreich;Austria;Österreich;Österreich;;Österreich;;;;;;;;;x
k_osterreich_adj;austrian;;österreichisch;;;;;;;;;;;x
k_piemont;Piemont;Piemont;Piemont;;Piemont;;;;;;;;;x
k_piemont_adj;Piemontian;;piemontesich;;;;;;;;;;;x
k_raetia;Raetia;Raetia;Raetia;;Raetia;;;;;;;;;x
k_raetia_adj;Raetian;;rätisch;;;;;;;;;;;x
k_schwaben;Schwaben;Schwaben;Schwaben;;Schwaben;;;;;;;;;x
k_schwaben_adj;Schwabenian;;schwäbisch;;;;;;;;;;;x
k_upper_burgundy;Upper Burgundy;Upper Burgundy;Oberburgund;;Upper Burgundy;;;;;;;;;x
k_upper_burgundy_adj;Upper Burgundian;;oberburgundisch;;;;;;;;;;;x
k_aarburgundy_conf;Aaarburgundy Confederation;;Aaarburgunder Bund;;;;;;;;;;;x
k_aarburgundy_conf_adj;Aarburgundian;;aarburgundisch;;;;;;;;;;;x
k_aargau_conf;Aargau Confederation;;Aargauer Bund;;;;;;;;;;;x
k_aargau_conf_adj;Aargovian;;aargauisch;;;;;;;;;;;x
k_common_conf;Commoner Confederation;;Grosser Gemeinde Bund;;;;;;;;;;;x
k_common_conf_adj;Commoner;;gemein;;;;;;;;;;;x
k_grey_confederacy;Grey Confederation;;Grauer Bund;;;;;;;;;;;x
k_grey_confederacy_adj ;Grison;;bünderisch;;;;;;;;;;;x
k_schwyz_vogtei;Schwyz;;Schwyz;;;;;;;;;;;x
k_schwyz_vogtei_adj;Swiss;;schwyzer;;;;;;;;;;;x
k_unterwalden_vogtei;Unterwalden;;Unterwalden;;;;;;;;;;;x
k_unterwalden_vogtei_adj;Unterwalder;;unterwalder;;;;;;;;;;;x
k_burgundy_vogtei;Burgundy;;Burgund;;;;;;;;;;;x
k_burgundy_vogtei_adj;burgundian;;burgunder;;;;;;;;;;;x
;;;;;;;;;;;;;;x
