#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
traderoute_province_desc;Is traderoute Province;;Ist eine Handelsrouten Provinz;;;;;;;;;;;x
BISHOPRIC;Bishopric;;Bistum;;;;;;;;;;;x
ABBEY;Abbey of;;Kloster;;;;;;;;;;;x
form_sworn_alliance;Form a Sworn Alliance;;Schwurbund anbieten;;;;;;;;;;;x
form_sworn_alliance_desc;Propose a sworn alliance between your terretories. Sworn Alliances will not be dissolved when a Ruler dies. You will be the leader of the alliance;;Schlägt vor einen gegenseitigen Bundesschwur zu leisten. Schwurbünde überdauern, selbst wenn ein Herrscher stirbt. Ihr werded der Anführer des Bundes sein.;;;;;;;;;;;x
invite_sworn_alliance;Invite to Sworn Alliance;;Zu Schwurbund einladen;;;;;;;;;;;x
invite_sworn_alliance_desc;Invite §Y[Root.GetTitledFirstName]§! to your sworn alliance. This will extend your sworn alliance.;;§Y[Root.GetTitledFirstName]§! zum Schwurbund einladen. Dies wird euren Schwurbund erweitern.;;;;;;;;;;;x
invite_sworn_alliance_of_suzerain;Invite to Sworn Alliance;;Zu Schwurbund einladen;;;;;;;;;;;x
invite_sworn_alliance_of_suzerain_desc;Invite §Y[Root.GetTitledFirstName]§! to your sworn alliance. This will extend your sworn alliance.;;§Y[Root.GetTitledFirstName]§! zum Schwurbund einladen. Dies wird euren Schwurbund erweitern.;;;;;;;;;;;x
request_entry_into_sworn_alliance;Request to enter Sworn Alliance;;Schwurbund beitreten;;;;;;;;;;;x
request_entry_into_sworn_alliance_desc;Request §Y[Root.GetTitledFirstName]§! to enter their sworn alliance. You will become a sworn ally of §Y[Root.GetTitledFirstName]§! and their allies. ;;§Y[Root.GetTitledFirstName]§! um den Beitritt zum Schwurbund bitten. Damit tretet ihr dem Schwurbund von §Y[Root.GetTitledFirstName]§! und Verbündeten bei.;;;;;;;;;;;x
